CustomerID,Country,UK_vs_International,first_invoice,last_invoice,Tenure_days,Recency,Frequency,Monetary,TotalQuantity,TotalLines,DistinctStockCodes,AvgBasketSize,AvgUnitPrice,CancellationRate,R_score,F_score,M_score,Segment
12347,Iceland,0,2010-12-07 14:57:00,2011-10-31 12:25:00,327,30,6,4085.1800000000003,2266,171,100,377.67,1.803,0.0,3,5,5,Lost
12348,Finland,0,2010-12-16 19:09:00,2011-09-25 13:13:00,282,66,4,1797.24,2341,31,22,585.25,0.768,0.0,2,4,4,At Risk
12349,Italy,0,2011-11-21 09:51:00,2011-11-21 09:51:00,0,9,1,1757.5500000000002,631,73,73,631.0,2.785,0.0,5,1,4,Lost
12350,Norway,0,2011-02-02 16:01:00,2011-02-02 16:01:00,0,301,1,334.40000000000003,197,17,17,197.0,1.697,0.0,1,1,2,Hibernating
12352,Norway,0,2011-02-16 12:33:00,2011-11-03 14:37:00,260,27,8,1545.4100000000005,536,85,59,67.0,2.883,0.10526315789473684,4,5,4,Loyal Customers
12353,Bahrain,0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,195,1,89.0,20,4,4,20.0,4.45,0.0,1,1,1,Hibernating
12354,Spain,0,2011-04-21 13:11:00,2011-04-21 13:11:00,0,223,1,1079.3999999999999,530,58,58,530.0,2.037,0.0,1,1,4,Lost
12355,Bahrain,0,2011-05-09 13:49:00,2011-05-09 13:49:00,0,205,1,459.4,240,13,13,240.0,1.914,0.0,1,1,2,Hibernating
12356,Portugal,0,2011-01-18 09:50:00,2011-11-17 08:40:00,302,13,3,2811.43,1591,59,53,530.33,1.767,0.0,4,3,5,Loyal Customers
12357,Switzerland,0,2011-11-06 16:07:00,2011-11-06 16:07:00,0,24,1,6207.67,2708,131,131,2708.0,2.292,0.0,4,1,5,Loyal Customers
12358,Austria,0,2011-07-12 10:04:00,2011-07-12 10:04:00,0,141,1,484.85999999999996,100,12,12,100.0,4.849,0.0,2,1,3,Hibernating
12359,Cyprus,0,2011-01-12 12:43:00,2011-10-13 12:47:00,274,48,4,6274.2300000000005,1609,245,214,402.25,3.899,0.008097165991902834,3,4,5,Lost
12360,Austria,0,2011-05-23 09:43:00,2011-10-18 15:22:00,148,43,3,2662.06,1165,129,105,388.33,2.285,0.0,3,3,5,Lost
12361,Belgium,0,2011-02-25 13:51:00,2011-02-25 13:51:00,0,278,1,189.89999999999998,91,10,10,91.0,2.087,0.0,1,1,1,Hibernating
12362,Belgium,0,2011-02-17 10:30:00,2011-11-28 14:55:00,284,2,9,4625.54,2008,236,183,223.11,2.304,0.03278688524590164,5,5,5,Champions
12363,Unspecified,0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,100,2,552.0,408,23,23,204.0,1.353,0.0,2,2,3,Lost
12364,Belgium,0,2011-08-19 15:24:00,2011-10-30 15:43:00,72,31,3,1002.78,1004,58,47,334.67,0.999,0.0,3,3,4,Lost
12365,Cyprus,0,2011-02-21 13:51:00,2011-02-21 14:04:00,0,282,2,320.68999999999994,174,22,22,87.0,1.843,0.043478260869565216,1,2,2,Hibernating
12370,Cyprus,0,2010-12-14 12:58:00,2011-10-19 14:51:00,309,42,4,3541.94,2352,166,143,588.0,1.506,0.0,3,4,5,Lost
12371,Switzerland,0,2011-10-11 10:43:00,2011-10-26 10:16:00,14,35,2,1887.96,591,63,63,295.5,3.195,0.0,3,2,4,Promising
12372,Denmark,0,2011-02-16 12:46:00,2011-09-29 12:12:00,224,62,3,1298.0400000000002,794,52,34,264.67,1.635,0.0,3,3,4,Lost
12373,Austria,0,2011-02-01 13:10:00,2011-02-01 13:10:00,0,302,1,364.6,197,14,14,197.0,1.851,0.0,1,1,2,Hibernating
12374,Austria,0,2011-11-14 15:37:00,2011-11-14 15:37:00,0,16,1,742.93,342,33,33,342.0,2.172,0.0,4,1,3,Potential Loyalists
12375,Finland,0,2011-09-02 14:23:00,2011-11-29 10:36:00,87,1,2,457.5,178,17,14,89.0,2.57,0.0,5,2,2,Potential Loyalists
12377,Switzerland,0,2010-12-20 09:37:00,2011-01-28 15:45:00,39,306,2,1628.12,944,77,72,472.0,1.725,0.0,1,2,4,Lost
12378,Switzerland,0,2011-08-02 10:34:00,2011-08-02 10:34:00,0,120,1,4008.62,2529,219,219,2529.0,1.585,0.0,2,1,5,About to Sleep
12379,Belgium,0,2011-06-22 16:32:00,2011-09-19 10:09:00,88,72,2,850.29,407,40,39,203.5,2.089,0.024390243902439025,2,2,3,Lost
12380,Belgium,0,2011-06-07 09:49:00,2011-11-18 11:27:00,164,12,4,2720.56,1127,104,77,281.75,2.414,0.009523809523809525,4,4,5,Loyal Customers
12381,Norway,0,2011-08-12 09:57:00,2011-11-06 13:36:00,86,24,4,1656.95,716,80,67,179.0,2.314,0.047619047619047616,4,4,4,Loyal Customers
12383,Belgium,0,2010-12-22 14:28:00,2011-06-08 08:02:00,167,175,5,1839.3100000000002,1532,99,84,306.4,1.201,0.01,1,4,4,Cannot Lose Them
12384,Switzerland,0,2011-08-10 11:23:00,2011-11-11 08:39:00,92,19,2,566.16,126,27,26,63.0,4.493,0.1,4,2,3,Lost
12386,Australia,0,2010-12-08 09:53:00,2011-01-06 12:37:00,29,328,2,401.9,354,10,10,177.0,1.135,0.0,1,2,2,Hibernating
12388,Australia,0,2011-01-17 11:12:00,2011-11-24 12:30:00,311,6,6,2780.6600000000003,1462,100,57,243.67,1.902,0.0,5,5,5,Champions
12390,Belgium,0,2011-09-21 09:33:00,2011-09-21 09:33:00,0,70,1,549.84,353,32,32,353.0,1.558,0.0,2,1,3,Hibernating
